Địa chỉ phòng;Khoảng cách tới UEH cơ sở B (km);Diện tích phòng (m²);Có máy lạnh / WC riêng / bếp;Giờ giấc tự do?;Số người ở tối đa;Có chỗ để xe?;Gần tiện ích (siêu thị, bus);Link truy cập tham khảo;Column1;Column2;Column3;Column4;Column5;Column6
34/ Vĩnh Viễn, P.10, Quận 5;0,8;19;Có máy lạnh, WC chung, bếp riêng;Không;3;Có (phí 100k);Gần chợ Nhật Tảo, Satra Food;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=10;;;;;;
306/ Sư Vạn Hạnh, P.10, Quận 5;1,6;23;Có máy lạnh, WC chung, bếp riêng;Có;2;Không;Khu dân cư an ninh, gần Big C;https://phongtro123.com/tphcm/quan-10?page=2;;;;;;
165/ Ngô Quyền, P.4, Quận 5;1,6;22;Không máy lạnh, WC riêng, không bếp;Có;2;Không;Gần Vạn Hạnh Mall, chợ Nguyễn Tri Phương;https://www.chotot.com/thue-phong-tro-quan-10?page=8;;;;;;
190/ Cách Mạng Tháng 8, P.15, Quận 10;1,8;25;Máy lạnh, WC riêng, bếp riêng (Studio);Không;3;Gửi xe ngoài;Gần trạm bus 07, Winmart;https://phongtro123.com/tphcm/quan-10?page=2;;;;;;
355/49 Hòa Hảo, P.10, Quận 5;1;30;Full nội thất, WC riêng, kệ bếp;Không;3;Có (phí 100k);Gần trạm bus 07, Winmart;https://phongtro123.com/tphcm/quan-10?page=8;;;;;;
443/ Cách Mạng Tháng 8, P.9, Quận 5;2,1;33;Full nội thất, WC riêng, kệ bếp;Không;3;Có (phí 100k);Gần Co.op Mart, trạm bus 150;https://www.chotot.com/thue-phong-tro-quan-10?page=1;;;;;;
116/11 Ngô Gia Tự, P.8, Quận 5;2,9;17;Máy lạnh, WC riêng, bếp riêng (Studio);Có;2;Không;Gần Co.op Mart, trạm bus 150;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=7;;;;;;
137/4 Lê Hồng Phong, P.15, Quận 11;1,4;25;Phòng trống, WC riêng, có chỗ nấu ăn;Không;3;Không;Gần trạm bus 07, Winmart;https://phongtro123.com/tphcm/quan-10?page=3;;;;;;
20/35 Nguyễn Tiểu La, P.10, Quận 5;1,4;30;Phòng trống, WC riêng, có chỗ nấu ăn;Không;4;Không;Gần Co.op Mart, trạm bus 150;https://phongtro123.com/tphcm/quan-10?page=9;;;;;;
421/ Vĩnh Viễn, P.8, Quận 5;1,1;28;Có máy lạnh, WC riêng, bếp chung;Không;4;Có;Gần chợ Nhật Tảo, Satra Food;https://www.chotot.com/thue-phong-tro-quan-10?page=1;;;;;;
63/ Lê Hồng Phong, P.5, Quận 10;3,1;34;Có máy lạnh, WC chung, bếp riêng;Không;2;Có;Gần Circle K, trạm bus 59;https://www.chotot.com/thue-phong-tro-quan-10?page=3;;;;;;
266/ Nguyễn Tri Phương, P.10, Quận 5;0,5;17;Phòng trống, WC riêng, có chỗ nấu ăn;Có;2;Có;Khu dân cư an ninh, gần Big C;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=10;;;;;;
431/43 Thành Thái, P.5, Quận 11;1,5;34;Máy lạnh, WC riêng, bếp riêng (Studio);Không;4;Không;Gần trạm bus 07, Winmart;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=7;;;;;;
468/ Nhật Tảo, P.12, Quận 11;2,1;35;Có máy lạnh, WC chung, bếp riêng;Có;2;Có (phí 100k);Gần chợ Nhật Tảo, Satra Food;https://phongtro123.com/tphcm/quan-10?page=4;;;;;;
92/ Bà Hạt, P.12, Quận 5;2,5;28;Không máy lạnh, WC riêng, không bếp;Không;2;Có (phí 100k);Gần Vạn Hạnh Mall, chợ Nguyễn Tri Phương;https://www.chotot.com/thue-phong-tro-quan-10?page=1;;;;;;
453/ Nhật Tảo, P.8, Quận 10;3,3;19;Không máy lạnh, WC riêng, không bếp;Không;2;Có (phí 100k);Gần trạm bus 07, Winmart;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=8;;;;;;
48/10 Trần Nhân Tôn, P.9, Quận 11;3,4;34;Full nội thất, WC riêng, kệ bếp;Có;4;Gửi xe ngoài;Gần Co.op Mart, trạm bus 150;https://phongtro123.com/tphcm/quan-10?page=8;;;;;;
190/13 Ba Tháng Hai, P.1, Quận 11;1,5;25;Có máy lạnh, WC riêng, bếp chung;Có;4;Có;Gần trạm bus 07, Winmart;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=4;;;;;;
262/44 Sư Vạn Hạnh, P.1, Quận 11;2,1;22;Máy lạnh, WC riêng, bếp riêng (Studio);Có;3;Có;Gần Vạn Hạnh Mall, chợ Nguyễn Tri Phương;https://phongtro123.com/tphcm/quan-10?page=2;;;;;;
336/40 Thành Thái, P.2, Quận 11;1,3;15;Máy lạnh, WC riêng, bếp riêng (Studio);Không;4;Có;Khu dân cư an ninh, gần Big C;https://www.chotot.com/thue-phong-tro-quan-10?page=10;;;;;;
436/50 Nguyễn Tri Phương, P.1, Quận 11;0,1;22;Không máy lạnh, WC riêng, không bếp;Có;3;Có (phí 100k);Gần trạm bus 07, Winmart;https://www.chotot.com/thue-phong-tro-quan-10?page=2;;;;;;
68/28 Thành Thái, P.9, Quận 5;2,3;27;Không máy lạnh, WC riêng, không bếp;Không;2;Có (phí 100k);Gần Vạn Hạnh Mall, chợ Nguyễn Tri Phương;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=2;;;;;;
216/46 Cách Mạng Tháng 8, P.15, Quận 5;1,1;32;Máy lạnh, WC riêng, bếp riêng (Studio);Có;2;Có (phí 100k);Gần Circle K, trạm bus 59;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=9;;;;;;
474/ Nguyễn Tri Phương, P.8, Quận 5;0,2;33;Phòng trống, WC riêng, có chỗ nấu ăn;Có;4;Có (phí 100k);Gần chợ Nhật Tảo, Satra Food;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=9;;;;;;
491/ Lý Thường Kiệt, P.1, Quận 5;1,6;20;Phòng trống, WC riêng, có chỗ nấu ăn;Không;2;Có (phí 100k);Gần Circle K, trạm bus 59;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=7;;;;;;
125/ Nhật Tảo, P.15, Quận 11;1,1;23;Không máy lạnh, WC riêng, không bếp;Không;3;Có;Gần công viên Lê Thị Riêng, nhiều quán ăn;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=6;;;;;;
391/4 Thành Thái, P.8, Quận 10;2;24;Máy lạnh, WC riêng, bếp riêng (Studio);Không;4;Có (phí 100k);Gần trạm bus 07, Winmart;https://www.chotot.com/thue-phong-tro-quan-10?page=3;;;;;;
435/ Ngô Gia Tự, P.15, Quận 5;2,7;31;Có máy lạnh, WC chung, bếp riêng;Có;3;Có;Khu dân cư an ninh, gần Big C;https://phongtro123.com/tphcm/quan-10?page=8;;;;;;
216/ Ngô Gia Tự, P.2, Quận 10;2,4;18;Máy lạnh, WC riêng, bếp riêng (Studio);Không;3;Có (phí 100k);Khu dân cư an ninh, gần Big C;https://phongtro123.com/tphcm/quan-10?page=4;;;;;;
286/20 Ngô Gia Tự, P.2, Quận 11;3,4;22;Phòng trống, WC riêng, có chỗ nấu ăn;Không;3;Có (phí 100k);Gần Co.op Mart, trạm bus 150;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=1;;;;;;
453/4 Nguyễn Tri Phương, P.8, Quận 5;0,7;34;Không máy lạnh, WC riêng, không bếp;Không;3;Có (phí 100k);Khu dân cư an ninh, gần Big C;https://www.chotot.com/thue-phong-tro-quan-10?page=5;;;;;;
275/ Tô Hiến Thành, P.5, Quận 5;2,2;18;Máy lạnh, WC riêng, bếp riêng (Studio);Có;4;Không;Gần công viên Lê Thị Riêng, nhiều quán ăn;https://phongtro123.com/tphcm/quan-10?page=6;;;;;;
477/ Nguyễn Tiểu La, P.12, Quận 10;2,3;20;Full nội thất, WC riêng, kệ bếp;Có;2;Có;Gần Circle K, trạm bus 59;https://phongtro123.com/tphcm/quan-10?page=6;;;;;;
499/ Nhật Tảo, P.1, Quận 11;2,8;20;Full nội thất, WC riêng, kệ bếp;Không;3;Có (phí 100k);Khu dân cư an ninh, gần Big C;https://batdongsan.com.vn/cho-thue-phong-tro-nha-tro-quan-10?page=8;;;;;;
45/47 Ngô Gia Tự, P.2, Quận 10;1,5;24;Phòng trống, WC riêng, có chỗ nấu ăn;Có;2;Có;Gần Circle K, trạm bus 59;https://phongtro123.com/tphcm/quan-10?page=7;;;;;;
300/ Cách Mạng Tháng 8, P.5, Quận 11;1,3;32;Không máy lạnh, WC riêng, không bếp;Có;2;Gửi xe ngoài;Gần trạm bus 07, Winmart;https://phongtro123.com/tphcm/quan-10?page=9;;;;;;
183/ Tô Hiến Thành, P.5, Quận 5;3,4;22;Có máy lạnh, WC chung, bếp riêng;Không;3;Có;Gần Vạn Hạnh Mall, chợ Nguyễn Tri Phương;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=3;;;;;;
460/ Trần Nhân Tôn, P.12, Quận 11;1,6;33;Có máy lạnh, WC riêng, bếp chung;Có;2;Không;Gần trạm bus 07, Winmart;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=3;;;;;;
247/49 Hòa Hảo, P.12, Quận 5;1;20;Không máy lạnh, WC riêng, không bếp;Có;2;Không;Gần Co.op Mart, trạm bus 150;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=2;;;;;;
71/38 Ngô Gia Tự, P.14, Quận 5;2,5;26;Phòng trống, WC riêng, có chỗ nấu ăn;Không;3;Gửi xe ngoài;Khu dân cư an ninh, gần Big C;https://nha.chotot.com/tp-ho-chi-minh/quan-10/thue-phong-tro?page=8;;;;;;
